Time,sum(Coindays destroyed – Blocks) – Bitcoin
19.09.2011,749750.2438651880
20.09.2011,2080430.5521004700
21.09.2011,541676.0741836680
22.09.2011,654222.5828021380
23.09.2011,1640646.8494565100
24.09.2011,204772.07316162600
25.09.2011,2727184.8169465700
26.09.2011,555162.8902240180
27.09.2011,1574415.1951024400
28.09.2011,684461.1182553560
29.09.2011,224748.9711219060
30.09.2011,1431717.7314595500
01.10.2011,1385344.296887110
02.10.2011,801196.6510393530
03.10.2011,488706.8629196800
04.10.2011,922806.3670871980
05.10.2011,579502.7810988830
06.10.2011,8325926.990361460
07.10.2011,1202373.7040490700
08.10.2011,527104.0674285340
09.10.2011,2241173.6124699700
10.10.2011,1073330.7763711000
11.10.2011,1500106.1558437100
12.10.2011,1420727.4577681400
13.10.2011,707661.4462224800
14.10.2011,1280374.5453768100
15.10.2011,781399.5595526300
16.10.2011,2191608.238405210
17.10.2011,6883045.597381710
18.10.2011,2986702.7194200700
19.10.2011,3094834.8853328300
20.10.2011,490872.04329391200
21.10.2011,620915.6366919280
22.10.2011,2939125.8688470600
23.10.2011,715170.1274908930
24.10.2011,387845.8009502820
25.10.2011,425398.1226897990
